department_code,course_code,metu_credit,ects_credit,prerequisites,course_name,year,semester
CNG,3570119,5(4-2),7.5,3570100,MAT119 CALCULUS WITH ANALYTIC GEOMETRY,1,1
CNG,3580105,4(3-2),6.5,,PHY105 GENERAL PHYSICS I,1,1
CNG,3550101,0(2-0),1,,CNG101 COMPUTER ENGINEERING ORIENTATION,1,1
CNG,3550111,4(3-2),4,,CNG111 INTRODUCTION TO COMPUTER ENG. CONCEPTS,1,1
CNG,3600107,4(3-2),6,,CHM107 GENERAL CHEMISTRY,1,1
CNG,3590101,4(4-0),6,,ENGL101 DEVELOPMENT OF READING AND WRITING SKILLS I,1,1
CNG,3550100,0(2-0),1,,CNG100 INTRODUCTION TO INFORMATION TECH. AND APPLICATIONS,1,1
CNG,3530100,0(1-0),2,,BUS100 CAREER PLANNING,1,2
CNG,3570120,5(4-2),7.5,"3570119,2360119,2360117",MAT120 CALCULUS FOR FUNCTIONS OF SEVERAL VARIABLES,1,2
CNG,3580106,4(3-2),6.5,,PHY106 GENERAL PHYSICS II,1,2
CNG,3550140,4(3-2),4,,CNG140 C PROGRAMMING,1,2
CNG,3570260,3(3-0),5,,MAT260 BASIC LINEAR ALGEBRA,1,2
CNG,3590102,4(4-0),6,"3590101,6390101",ENGL102 DEVELOPMENT OF READING AND WRITING SKILLS II,1,2
CNG,3870101,0(0-0),2,,OCHS101 OCCUPATIONAL HEALTH AND SAFETY-I,1,2
CNG,3570219,4(4-0),7,3570120,MAT219 INTRODUCTION TO DIFFERENTIAL EQUATIONS,2,3
CNG,3560281,4(3-2),6,"3570119,3580106",EEE281 ELECTRICAL CIRCUITS,2,3
CNG,3550213,4(3-2),6,"3550140,3890140",CNG213 DATA STRUCTURES,2,3
CNG,3550223,3(3-0),6,,CNG223 DISCRETE COMPUTATIONAL STRUCTURES,2,3
CNG,3590211,3(3-0),4,"3590101,3590102,6390101,6390102",ENGL211 ACADEMIC ORAL PRESENTATION SKILLS,2,3
CNG,3610101,0(2-0),2,,TUR101 TURKISH I,2,3
CNG,3630221,3(3-0),5,3570120,STAS221 STATISTICS FOR ENGINEERS I,2,4
CNG,3550242,4(3-2),7,"3550111,3550213",CNG242 PROGRAMMING LANGUAGE CONCEPTS,2,4
CNG,3550280,3(3-0),6,3550223,CNG280 FORMAL LANGUAGES AND ABSTRACT MACHINES,2,4
CNG,3550232,4(3-2),7,,CNG232 LOGIC DESIGN,2,4
CNG,3610102,0(2-0),2,3610101,TUR102 TURKISH II,2,4
CNG,,3(3-0),5,,Non-Technical Elective,2,4
CNG,3550315,3(3-0),6,3550213,CNG315 ALGORITHMS,3,5
CNG,3550331,3(3-0),6,"3550232,3560248",CNG331 COMPUTER ORGANIZATION,3,5
CNG,3550351,3(3-0),6,,CNG351 DATA MANAGEMENT AND FILE STRUCTURES,3,5
CNG,3590311,3(3-0),4,"3590101,3590102,3590211,6390101,6390102,6390211",ENGL311 ADVANCED COMMUNICATION SKILLS,3,5
CNG,3620201,0(2-0),2,,HST201,3,5
CNG,3550300,0(0-0),2,"3550100,3870101",CNG300 SUMMER PRACTICE I,3,5
CNG,3870301,0(0-0),2,,OCHS301 OCCUPATIONAL HEALTH AND SAFETY - II,3,5
CNG,,3(3-0),5,,Technical Elective,3,5
CNG,3550336,4(3-2),5.5,3550232,CNG336 INTRODUCTION TO EMBEDDED SYSTEMS DEVELOPMENT,3,6
CNG,3550334,3(3-0),5.5,"3550331,3560445",CNG334 INTRODUCTION TO OPERATING SYSTEMS,3,6
CNG,3550384,3(3-0),5,"3570219,3570260",CNG384 SIGNALS AND SYSTEMS FOR COMPUTER ENGINEERS,3,6
CNG,3550350,3(3-0),5.5,"3550213,3550301,5710301,3550310,5710310",CNG350 SOFTWARE ENGINEERING,3,6
CNG,3620202,0(2-0),2,"2402201,3620201",HST202,3,6
CNG,,3(3-0),5,,Non-Technical Elective,3,6
CNG,3550491,3(2-2),7,3550350,CNG491 COMPUTER ENGINEERING DESIGN I,4,7
CNG,3550435,3(3-0),6,,CNG435 DATA COMMUNICATIONS AND COMPUTER NETWORKING,4,7
CNG,3550400,0(0-0),2,3870301,CNG400 SUMMER PRACTICE II,4,7
CNG,,3(3-0),5,,Technical Elective,4,7
CNG,,3(3-0),5,,Technical Elective,4,7
CNG,,3(3-0),5,,Non-Technical Elective,4,7
CNG,3550492,3(1-4),7,3550491,CNG492 COMPUTER ENGINEERING DESIGN II,4,8
CNG,,3(3-0),5,,Technical Elective,4,8
CNG,,3(3-0),5,,Technical Elective,4,8
CNG,,3(3-0),5,,Technical Elective,4,8
CNG,,3(3-0),5,,Free Elective,4,8
SNG,3570119,5(4-2),7.5,3570100,MAT119 CALCULUS WITH ANALYTIC GEOMETRY,1,1
SNG,3580105,4(3-2),6.5,,PHY105 GENERAL PHYSICS I,1,1
SNG,3600107,4(3-2),6,,CHM107 GENERAL CHEMISTRY,1,1
SNG,3590101,4(4-0),6,,ENGL101 DEVELOPMENT OF READING AND WRITING SKILLS I,1,1
SNG,3550100,0(2-0),1,,CNG100 INTRODUCTION TO INFORMATION TECH. AND APPLICATIONS,1,1
SNG,3890101,0(2-0),1,,SNG101 INTRODUCTION TO SOFTWARE ENGINEERING & ORIENTATION,1,1
SNG,3890111,4(3-2),4,,SNG111 INTRODUCTION TO COMPUTER SCIENCE AND PROGRAMMING,1,1
SNG,3530100,0(1-0),2,,BUS100 CAREER PLANNING,1,2
SNG,3570120,5(4-2),7.5,"3570119,2360119,2360117",MAT120 CALCULUS FOR FUNCTIONS OF SEVERAL VARIABLES,1,2
SNG,3580106,4(3-2),6.5,,PHY106 GENERAL PHYSICS II,1,2
SNG,3570260,3(3-0),5,,MAT260 BASIC LINEAR ALGEBRA,1,2
SNG,3590102,4(4-0),6,"3590101,6390101",ENGL102 DEVELOPMENT OF READING AND WRITING SKILLS II,1,2
SNG,3870101,0(0-0),2,,OCHS101 OCCUPATIONAL HEALTH AND SAFETY-I,1,2
SNG,3890140,4(3-2),4,,SNG140 PROGRAMMING,1,2
SNG,3570219,4(4-0),7,3570120,MAT219 INTRODUCTION TO DIFFERENTIAL EQUATIONS,2,3
SNG,3620201,0(2-0),2,,HST201,2,3
SNG,3590211,3(3-0),4,"3590101,3590102,6390101,6390102",ENGL211 ACADEMIC ORAL PRESENTATION SKILLS,2,3
SNG,3610101,0(2-0),2,,TUR101 TURKISH I,2,3
SNG,3550213,4(3-2),6,"3550140,3890140",CNG213 DATA STRUCTURES,2,3
SNG,3550223,3(3-0),6,,CNG223 DISCRETE COMPUTATIONAL STRUCTURES,2,3
SNG,3890201,3(3-0),5,,SNG201 INTRODUCTION TO SOFTWARE ENGINEERING,2,3
SNG,3630221,5(3-0),5,3570120,STAS221 STATISTICS FOR ENGINEERS I,2,4
SNG,3610102,2(0-2),2,3610101,TUR102 TURKISH II,2,4
SNG,3620202,2(0-2),2,"2402201,3620201",HST202,2,4
SNG,3550232,7(3-2),7,,CNG232 LOGIC DESIGN,2,4
SNG,3550280,6(3-0),6,3550223,CNG280 FORMAL LANGUAGES AND ABSTRACT MACHINES,2,4
SNG,3890221,5(3-0),5,3890201,SNG221 SOFTWARE REQUIREMENTS ENGINEERING,2,4
SNG,3890242,7(3-2),7,"3550213,3890111",SNG242 OBJECT ORIENTED SOFTWARE DEVELOPMENT,2,4
SNG,3590311,4(3-0),4,"3590101,3590102,3590211,6390102,6390211",ENGL311 ADVANCED COMMUNICATION SKILLS,3,5
SNG,3870301,2(0-0),2,,OCHS301 OCCUPATIONAL HEALTH AND SAFETY - II,3,5
SNG,3550315,6(3-0),6,3550213,CNG315 ALGORITHMS,3,5
SNG,3550331,6(3-0),6,"3550232,3560248",CNG331 COMPUTER ORGANIZATION,3,5
SNG,3550351,6(3-0),6,,CNG351 DATA MANAGEMENT AND FILE STRUCTURES,3,5
SNG,3890300,2(0-0),2,"3550100,3870101",SNG300 SUMMER PRACTICE I,3,5
SNG,3890303,5(3-0),5,,SNG303 SOFTWARE PROJECT MANAGEMENT,3,5
SNG,3890330,5(3-0),5,"3890201,3890242,3550242",SNG330 SOFTWARE DESIGN,3,5
SNG,3550334,5.5(3-0),5.5,"3550331,3560445",CNG334 INTRODUCTION TO OPERATING SYSTEMS,3,6
SNG,3890341,6(3-2),6,3890330,SNG341 SOFTWARE CONSTRUCTION AND EVOLUTION,3,6
SNG,3890346,5(3-0),5,3890242,SNG346 WEB APPLICATION DEVELOPMENT,3,6
SNG,3890352,5(3-0),5,,SNG352 SOFTWARE TESTING AND QUALITY ASSURANCE,3,6
SNG,,,5,,Technical Elective,3,6
SNG,,,5,,Non-Technical Elective,3,6
SNG,3550435,6(3-0),6,,CNG435 DATA COMMUNICATIONS AND COMPUTER NETWORKING,4,7
SNG,3890400,2(0-0),2,3870301,SNG400 SUMMER PRACTICE II,4,7
